id	name.zh-CN	name.en
14193	唐山学院	Tangshan University
5237	天津财经大学	Tianjin University of Finance and Economics
9556	天津大学	Tianjin University
16059	天津工业大学	Tiangong University
6655	天津科技大学	Tianjin University of Science and Technology
3203	天津理工大学	Tianjin University of Technology
8718	天津农学院	Tianjin Agricultural University
3190	天津仁爱学院	Tianjin Renai College
13752	天津商业大学	Tianjin University of Commerce
5585	天津师范大学	Tianjin Normal University
3204	天津职业技术师范大学	Tianjin University of Technology and Education
2019	同济大学	Tongji University
8719	铜陵学院	Tongling University
9162	铜仁学院	Tongren University
3209	皖西学院	West Anhui University
9092	潍坊科技学院	Weifang University of Science and Technology
22098	潍坊理工学院	Weifang Institute of Technology
5438	潍坊学院	Weifang University
26330	渭南师范学院	Weinan Normal University
3207	温州大学	Wenzhou University
4573	温州科技职业学院	Wenzhou Vocational College of Science and Technology
8596	温州商学院	Wenzhou Business College
3206	温州医科大学	Wenzhou Medical University
20223	无锡学院	Wuxi University
26226	梧州学院	Wuzhou University
2758	五邑大学	Wuyi University (Guangdong)
16125	武昌理工学院	Wuchang University of Technology
10166	武昌首义学院	Wuchang Shouyi University
2714	武汉大学	Wuhan University
11129	武汉东湖学院	Wuhan Donghu University
6857	武汉纺织大学	Wuhan Textile University
8327	武汉工程大学	Wuhan Institute of Technology
6300	武汉科技大学	Wuhan University of Science and Technology
3407	武汉理工大学	Wuhan University of Technology
14122	武汉轻工大学	Wuhan Polytechnic University
6895	武汉软件工程职业学院	Wuhan Vocational College of Software and Engineering
8751	武汉商学院	Wuhan Business University
26035	武汉生物工程学院	Wuhan University of Bioengineering
19826	武汉学院	Wuhan College
2724	西安电子科技大学	Xidian University
26109	西安工程大学	Xi’an Polytechnic University
26341	西安工商学院	Xi'an Technology and Business College
7644	西安工业大学	Xi’an Technological University
6905	西安交通大学城市学院	Xi'an Jiaotong University City College
6752	西安理工大学	Xi'an University of Technology
8103	西安欧亚学院	Xi'an Eurasia University
10888	西安思源学院	Xi'an Siyuan University
4013	西安邮电大学	Xi’an University of Posts and Telecommunications
6756	西北大学	Northwest University
1361	西北工业大学	Northwestern Polytechnical University
9037	西北民族大学	Northwest Minzu University
2885	西北农林科技大学	Northwest A&F University
6295	西北师范大学	Northwest Normal University
10885	西藏民族大学	Xizang Minzu University
20350	西湖大学	Westlake University
2725	西华大学	Xihua University
6224	西华师范大学	China West Normal University
6220	西南财经大学	Southwestern University of Finance and Economics
8661	西南财经大学天府学院	Tianfu College of SWUFE
5578	西南大学	Southwest University
1762	西南交通大学	Southwest Jiaotong University
11481	西南交通大学希望学院	Southwest Jiaotong University Hope College
3197	西南科技大学	Southwest University of Science and Technology
3043	西南民族大学	Southwest Minzu University
2979	西南石油大学	SouthWest Petroleum University
308	香港城市大学	City University of Hong Kong
26100	香港城市大学（东莞）	City University of Hong Kong (Dongguan)
667	香港浸会大学	Hong Kong Baptist University
24540	香港科技大学（广州）	The Hong Kong University of Science and Technology (Guangzhou)
1942	香港中文大学	The Chinese University of Hong Kong
10679	香港中文大学（深圳）	The Chinese University of Hong Kong, Shenzhen
